,precision,recall,f1-score,support
BOOTS,0.0,0.0,0.0,5.0
BRA,0.2857142857142857,1.0,0.4444444444444444,2.0
BRIEFS,1.0,1.0,1.0,1.0
CANVAS/SNEAKERS,0.125,0.2,0.15384615384615385,10.0
CAPS & HATS,0.2,0.6666666666666666,0.3076923076923077,3.0
DRESSES & GOWNS,0.0,0.0,0.0,0.0
DRIVING SHOES,0.0,0.0,0.0,1.0
DUPATTA,0.0,0.0,0.0,1.0
ETHNIC BOTTOM,1.0,0.3333333333333333,0.5,3.0
EVA BALLIES,0.0,0.0,0.0,1.0
EVA CANVAS/SNEAKERS,0.0,0.0,0.0,1.0
EVA FULL MOULDED SANDALS,0.2857142857142857,0.6666666666666666,0.4,3.0
EVA FULL MOULDED SLIPPERS,0.2,0.2,0.2,5.0
EVA MOULDED SANDALS,0.75,0.75,0.75,4.0
EVA MOULDED SLIPPERS,0.15789473684210525,0.5,0.24,6.0
EVA SANDALS,0.0,0.0,0.0,7.0
EVA SCHOOL SHOES,0.0,0.0,0.0,1.0
EVA SLIPPERS,0.0,0.0,0.0,16.0
EVA SPORT SHOES,0.0,0.0,0.0,12.0
FABRICATION SLIPPERS,0.5,0.26666666666666666,0.34782608695652173,15.0
FLAT BELLIES,0.0,0.0,0.0,14.0
FLAT SANDALS,0.0,0.0,0.0,4.0
FLAT SLIPPERS,0.23076923076923078,0.12,0.15789473684210525,25.0
FLAT/WEDGE BALLIES,0.0,0.0,0.0,2.0
FORMAL SHOES,0.8,0.2,0.32,20.0
FULL MOULDED EVA SANDALS,0.0,0.0,0.0,2.0
FULL MOULDED EVA SLIPPERS,0.0,0.0,0.0,2.0
FULL MOULDED PVC SHOES,0.0,0.0,0.0,1.0
FULL STITCHED BLOUSE,0.5,0.3333333333333333,0.4,3.0
GLOVES,0.0,0.0,0.0,1.0
HAWAI SLIPPERS,0.0,0.0,0.0,13.0
HAWAII SLIPPERS,0.28,0.875,0.42424242424242425,8.0
HEEL SANDALS,0.0,0.0,0.0,4.0
HEEL SLIPPERS,0.0,0.0,0.0,2.0
JACKETS,1.0,0.3333333333333333,0.5,3.0
JEANS,0.53125,0.9444444444444444,0.68,18.0
KNIT BRA,0.0,0.0,0.0,3.0
KNIT CAMISOLES,0.0,0.0,0.0,1.0
KNIT DRESSES,0.0,0.0,0.0,8.0
KNIT JACKETS,0.0,0.0,0.0,1.0
KNIT JEANS,0.0,0.0,0.0,4.0
KNIT JEGGINGS,0.0,0.0,0.0,1.0
KNIT KURTAS,0.0,0.0,0.0,1.0
KNIT LINGERIES,0.0,0.0,0.0,1.0
KNIT NIGHT SUITS,0.0,0.0,0.0,3.0
KNIT PANTIES,1.0,0.3333333333333333,0.5,3.0
KNIT SHIRTS,0.0,0.0,0.0,5.0
KNIT SHORTS,0.0,0.0,0.0,8.0
KNIT SWEATERS,0.0,0.0,0.0,1.0
KNIT SWEATSHIRTS/HOODIE,0.0,0.0,0.0,6.0
KNIT T-SHIRTS,0.0,0.0,0.0,39.0
KNIT THERMALS,0.0,0.0,0.0,1.0
KNIT TOP BOTTOM SET,0.0,0.0,0.0,10.0
KNIT TOPS,0.0,0.0,0.0,8.0
KNIT TRACK PANTS/LOWERS,0.0,0.0,0.0,7.0
KNIT VESTS (BANIYAN),0.0,0.0,0.0,3.0
KURTA SET,0.0,0.0,0.0,1.0
KURTAS,0.0,0.0,0.0,2.0
KURTI,0.16129032258064516,0.7142857142857143,0.2631578947368421,7.0
KURTI SET,0.0,0.0,0.0,1.0
KURTI WITH BOTTOM,0.0,0.0,0.0,2.0
KURTI WITH BOTTOM & DUPATTA,0.1111111111111111,0.25,0.15384615384615385,4.0
KURTIS,0.0,0.0,0.0,4.0
KURTIS SET,0.0,0.0,0.0,1.0
LEATHER BOOTS,0.0,0.0,0.0,1.0
