,BELT,BLOOMERS,BOOTS,BRA,BRIEFS,CANVAS/SNEAKERS,CAPS & HATS,COLLAR T-SHIRTS,DHOTI / LUNGI,DRESSES & GOWNS,DRIVING SHOES,DUPATTA,DYED BLOUSE,ETHNIC BOTTOM,EVA BALLIES,EVA BOOTS,EVA CANVAS/SNEAKERS,EVA FULL MOULDED SANDALS,EVA FULL MOULDED SHOES,EVA FULL MOULDED SLIPPERS,EVA MOULDED SANDALS,EVA MOULDED SLIPPERS,EVA SANDALS,EVA SCHOOL SHOES,EVA SLIPPERS,EVA SPORT SHOES,FABRICATION SANDALS,FABRICATION SLIPPERS,FLAT BELLIES,FLAT SANDALS,FLAT SLIPPERS,FLAT/WEDGE BALLIES,FORMAL SHOES,FULL MOULDED EVA BALLIES,FULL MOULDED EVA SANDALS,FULL MOULDED EVA SHOES,FULL MOULDED EVA SLIPPERS,FULL MOULDED PVC BALLIES,FULL MOULDED PVC SANDALS,FULL MOULDED PVC SHOES,FULL MOULDED PVC SLIPPERS,FULL STITCHED BLOUSE,GLOVES,HAWAI SLIPPERS,HAWAII SLIPPERS,HEEL BELLIES,HEEL SANDALS,HEEL SLIPPERS,JACKETS,JACQUARD DUPATTA,JEANS,KNIT BRA,KNIT BRIEFS (UNDERWEAR),KNIT CAMISOLES,KNIT CAPS AND HATS,KNIT DENIM JACKET,KNIT DRESSES,KNIT EMBROIDERED SAREES,KNIT GLOVES,KNIT GOWNS,KNIT JACKETS,KNIT JEANS,KNIT JEGGINGS,KNIT JUMPSUITS,KNIT KURTAS,KNIT LEGGINGS,KNIT LINGERIES,KNIT MASKS,KNIT MILL PRINT KURTIS,KNIT MUFFLERS,KNIT NIGHT SUITS,KNIT NIGHTGOWNS,KNIT PANTIES,KNIT PLAZZOS,KNIT SALWARS,KNIT SHIRTS,KNIT SHORT SKIRTS,KNIT SHORTS,KNIT SHRUGS,KNIT SOCKS,KNIT STOLES & SCARVES,KNIT SWEATERS,KNIT SWEATSHIRTS/HOODIE,KNIT T-SHIRTS,KNIT THERMALS,KNIT TOP BOTTOM SET,KNIT TOPS,KNIT TRACK PANTS/LOWERS,KNIT TRACK SUIT,KNIT VESTS (BANIYAN),KURTA SET,KURTAS,KURTI,KURTI SET,KURTI WITH BOTTOM,KURTI WITH BOTTOM & DUPATTA,KURTI WITH DUPATTA,KURTIS,KURTIS SET,LEATHER BOOTS,LEATHER CANVAS/SNEAKERS,LEATHER DRIVING SHOES,LEATHER FLAT BELLIES,LEATHER FLAT SANDALS,LEATHER FLAT SLIPPERS,LEATHER FORMAL SHOES,LEATHER HAND PASTED SNEAKERS,LEATHER HAND PASTED SPORTS,LEATHER HANDMADE BELLIES,LEATHER HANDMADE BOOTS,LEATHER HANDMADE FORMAL SHOES,LEATHER HANDMADE JUTTIES,LEATHER HANDMADE LOAFER SHOES,LEATHER HANDMADE SAFETY SHOES,LEATHER HANDMADE SANDALS,LEATHER HANDMADE SLIPPERS,LEATHER LOAFER SHOES,LEATHER MACHINE MADE SAFETY SHOES,LEATHER NAGRA SHOES,LEATHER PASTED FORMALS,LEATHER PASTED SNEAKERS,LEATHER ROMAN SANDALS,LEATHER SAFETY SHOES,LEATHER SANDALS,LEATHER SLIPPERS,LEATHER SPORT SHOES,LEATHER STITCH SLIPPER,LEATHER WEDGE BELLIES,LEATHER WEDGE SLIPPERS,LEGGINGS,LOAFER SHOES,MACHINE PASTED SNEAKERS,MACHINE PASTED SPORTS SHOES,MUFFLERS,NAGRA SHOES,NIGHT GOWN,NIGHT SUIT,PANTY,PETTICOAT,PHYLON / TPR SANDALS,PHYLON SANDALS,PHYLON SLIPPERS,PHYLON SPORT SHOES,PLAZZO (WOVEN),PU BALLIES,PU BOOTS,PU CANVAS/SNEAKERS,PU MACHINE MADE BOOTS,PU MOULDED BELLIES,PU MOULDED SANDALS,PU MOULDED SCHOOL SHOES,PU MOULDED SLIPPERS,PU MOULDED SNEAKERS,PU MOULDED SPORTS SHOES,PU SANDALS,PU SCHOOL SHOES,PU SLIPPERS,PU SPORTS SHOES,PVC BALLIES,PVC BOOTS,PVC CANVAS/SNEAKERS,PVC FULL MOULDED SANDALS,PVC FULL MOULDED SHOES,PVC FULL MOULDED SLIPPERS,PVC MACHINE MADE BOOTS,PVC MOULDED BELLIES,PVC MOULDED SANDALS,PVC MOULDED SCHOOL SHOES,PVC MOULDED SLIPPERS,PVC MOULDED SNEAKERS,PVC MOULDED SPORTS SHOES,PVC SANDALS,PVC SCHOOL SHOES,PVC SLIPPERS,PVC SPORT SHOES,READY TO WEAR SAREE,ROMAN SANDALS,RUBBER/TPR BOOTS,RUBBER/TPR CANVAS AND SNEAKERS,RUBBER/TPR SANDALS,RUBBER/TPR SCHOOL SHOES,RUBBER/TPR SPORT SHOES,SAFETY SHOES,SANDALS,SAREE WITH BLOUSE,SAREE WITHOUT BLOUSE,SEMI STITCHED BLOUSE,SHIRTS,SHORTS,SHORTS (WOVEN),SLIPPERS,SOCKS,SPORT SHOES,SWEATERS,SWEATSHIRTS,SYNTHETIC HAND PASTED SNEAKER,SYNTHETIC HAND PASTED SPORTS,SYNTHETIC HANDMADE BELLIES,SYNTHETIC HANDMADE BOOTS,SYNTHETIC HANDMADE FORMAL SHOES,SYNTHETIC HANDMADE HEEL BELLIES,SYNTHETIC HANDMADE HEEL SANDALS,SYNTHETIC HANDMADE HEEL SANDALS ,SYNTHETIC HANDMADE HEEL SLIPPERS,SYNTHETIC HANDMADE JUTTIES,SYNTHETIC HANDMADE LOAFER SHOES,SYNTHETIC HANDMADE SAFETY SHOES,SYNTHETIC HANDMADE SANDALS,SYNTHETIC HANDMADE SLIDERS,SYNTHETIC HANDMADE SLIPPERS,SYNTHETIC MACHINE MADE SAFETY SHOES,SYNTHETIC MACHINE PASTED SCHOOL SHOES,SYNTHETIC MOULDED SNEAKERS,SYNTHETIC MOULDED SPORTS,SYNTHETIC PASTED FLAT SLIPPERS ,SYNTHETIC PASTED FORMAL,SYNTHETIC PASTED HEEL SANDALS ,SYNTHETIC PASTED HEEL SLIPPERS ,SYNTHETIC PASTED LOAFER,SYNTHETIC PASTED SLIDERS,SYNTHETIC PASTED SLIPPER,SYNTHETIC PASTED SLIPPERS,SYNTHETIC PASTED SNEAKERS,SYNTHETIC PASTED SPORTS,SYNTHETIC STITCH LOAFER,SYNTHETIC STITCH SANDALS,SYNTHETIC STITCH SLIPPER,T-SHIRTS,TEST KURTI,TEST KURTI SET,THERMAL,TOP & BOTTOM SET,TOP BOTTOM SET,TOP-BOTTOM SET,TOPS,TRACK PANTS,TRACK SUITS,TROUSERS,UNSTITCHED BLOUSE,VESTS,WEDGE BELLIES,WEDGE SANDALS,WEDGE SLIPPERS,WINTER KURTIS ,WOVEN BLAZERS,WOVEN BLOCK PRINT SAREES,WOVEN CAPS AND HATS,WOVEN COAT PANTS,WOVEN DENIM JACKET,WOVEN DIGITAL PRINT BLOUSES,WOVEN DIGITAL PRINT DUPATTAS,WOVEN DIGITAL PRINT KURTIS,WOVEN DIGITAL PRINT LEHENGAS,WOVEN DIGITAL PRINT SAREES,WOVEN DIGITAL PRINT SUIT & DRESS MATERIAL,WOVEN DYED SAREES,WOVEN EMBROIDERED BLOUSES,WOVEN EMBROIDERED DUPATTAS,WOVEN EMBROIDERED KURTIS,WOVEN EMBROIDERED LEHENGAS,WOVEN EMBROIDERED SAREES,WOVEN EMBROIDERED SUIT & DRESSS MATERIAL,WOVEN FORMAL PANTS,WOVEN GLOVES,WOVEN GOWNS,WOVEN JACQUARD BLOUSES,WOVEN JACQUARD LEHENGAS,WOVEN JACQUARD SAREES,WOVEN JACQUARD SUIT & DRESS MATERIAL,WOVEN JEANS,WOVEN KURTAS,WOVEN LEGGINGS,WOVEN LONG SKIRTS,WOVEN MASKS,WOVEN MILL PRINT BLOUSES,WOVEN MILL PRINT DUPATTAS,WOVEN MILL PRINT KURTIS,WOVEN MILL PRINT SAREES,WOVEN MILL PRINT SUIT & DRESS MATERIAL,WOVEN MILL PRINT SUIT & DRESS MATERIAL (STITCHED),WOVEN MUFFLERS,WOVEN PETTICOAT,WOVEN SALWARS,WOVEN SCREEN PRINT BLOUSES,WOVEN SCREEN PRINT DUPATTAS,WOVEN SCREEN PRINT KURTIS,WOVEN SCREEN PRINT SAREES,WOVEN SCREEN PRINT SUIT & DRESS MATERIAL,WOVEN SHAWLS,WOVEN SHERWANIES,WOVEN SHIRTS,WOVEN SHORTS,WOVEN SOCKS,WOVEN SOLID/PLAIN/DYED KURTIS,WOVEN STOLES & SCARVES,WOVEN TOP,WOVEN TROUSERS,WOVEN VALUE ADDITION KURTIS (HAND AND STONE WORK),WOVEN VALUE ADDITION LEHENGAS (HAND AND STONE WORK),WOVEN VALUE ADDITION SAREES (HAND AND STONE WORK),WOVEN VALUE ADDTION SUIT & DRESS MATERIAL (HAND & STONE WORK)
BELT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIEFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANVAS/SNEAKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPS & HATS,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLLAR T-SHIRTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHOTI / LUNGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRESSES & GOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
